"","Sum Intermediate Reqs","Sum Intermediate Reqs Scrap Adj","Rel_Diff"
"333318/US",0.595986780249267,0.596021271126825,-5.78685346123732e-05
"311910/US",0.657687819103235,0.657732498679355,-6.79297073045471e-05
"541300/US",0.368337387998494,0.368363591323553,-7.11344054515959e-05
"561400/US",0.462124988079926,0.462158194935052,-7.18517068188925e-05
"339920/US",0.528111127119073,0.528149202359992,-7.20918269858577e-05
"312200/US",0.261009900121158,0.261030677782406,-7.9598541536663e-05
"112A00/US",0.310839518220414,0.310866358095736,-8.63389512029285e-05
"339950/US",0.566084948579884,0.566133828180866,-8.63393045047826e-05
"5416A0/US",0.414120287891423,0.414159525948038,-9.47414079772006e-05
"423100/US",0.513772108324635,0.513821880350022,-9.68663019038853e-05
"339910/US",0.602824851046187,0.602891651483258,-0.000110800069808123
"713900/US",0.457082846410587,0.457135672286902,-0.000115558420655527
"333415/US",0.609390735080876,0.609463044238441,-0.000118644039615556
"541800/US",0.397855678747726,0.397910018502552,-0.000136562922016307
"315000/US",0.33228825407601,0.332338078798061,-0.000149921797199648
"333112/US",0.650053097475787,0.650158966651199,-0.00016283583068576
"332913/US",0.640629900533794,0.640740284242975,-0.000172275275795004
"2332D0/US",0.419249971175794,0.419322704159382,-0.000173453483119974
"336412/US",0.605511930866319,0.605617374727402,-0.0001741097027322
"2123A0/US",0.46702374422906,0.467105530033233,-0.000175090635659923
"2332C0/US",0.465941338227282,0.466025438598506,-0.000180463048277294
"337215/US",0.588626436685859,0.588740389063079,-0.000193552844914689
"336611/US",0.521073798116166,0.52117583268767,-0.000195777634159299
"561600/US",0.346841124129101,0.346911478038175,-0.000202800753297127
"624400/US",0.448400909362376,0.448494540541766,-0.000208767712706514
"333242/US",0.498673278820904,0.498783258119576,-0.000220495168756319
"113000/US",0.444049955567465,0.44415596416295,-0.000238674258680459
"114000/US",0.234405283651259,0.234461587866612,-0.000240142600185614
"339930/US",0.37069003374831,0.37079327667507,-0.000278437968687963
"525000/US",0.866543550333224,0.866805402467183,-0.000302088719352871
"334300/US",0.368608920455967,0.368722194116621,-0.000307205973661709
"33329A/US",0.622206736649914,0.622407820762558,-0.000323074527562338
"115000/US",0.247188863904668,0.247272744879505,-0.00033922450643535
"321100/US",0.709006281777518,0.709256747687901,-0.000353138565406148
"326160/US",0.69993256976624,0.700187207807045,-0.000363671369551632
"333611/US",0.576027554679702,0.576238138368808,-0.00036544559459602
"712000/US",0.411088082147894,0.411265068348045,-0.000430345812890124
"322220/US",0.673586091602974,0.673882314077414,-0.000439575973804766
"561900/US",0.446844061856511,0.447055056919944,-0.000471966618354921
"336413/US",0.524464388954216,0.524798297703015,-0.000636261112621849
"333618/US",0.756327449254207,0.756920479833733,-0.000783478047331882
"332410/US",0.584850213266445,0.585368691840666,-0.000885729936444262
"336310/US",0.775624451365083,0.776377990486355,-0.000970582796660573
"5191A0/US",0.15406483600575,0.154221426853234,-0.0010153637576727
"336500/US",0.754586101371885,0.755412609342161,-0.00109411460710904
"332991/US",0.506332584911914,0.506905973562313,-0.00113115386344652
"333517/US",0.56802893346483,0.568681800360671,-0.00114803550144627
"333111/US",0.612463989518914,0.613176500109737,-0.00116199918081668
"332200/US",0.534046750772131,0.534674050602443,-0.00117323784388749
"333414/US",0.576662209683506,0.577427023577815,-0.00132452043822061
"326140/US",0.7224639907976,0.723424681921077,-0.00132797670232256
"323120/US",0.452377984759495,0.452984704989657,-0.00133938347912989
"336350/US",0.705469402086042,0.706442214686931,-0.00137705898750717
"33299A/US",0.504106071504823,0.504818781130583,-0.00141181281758933
"326110/US",0.706352373680732,0.707462908060646,-0.00156974219745047
"326130/US",0.590529683768718,0.591478336260895,-0.00160386684350049
"332500/US",0.652585715212666,0.65364265273539,-0.00161699595077075
"333511/US",0.543306041774083,0.544256255340001,-0.0017458936973077
"332320/US",0.590013439955478,0.591064502126202,-0.00177825290969636
"336360/US",0.744535841529614,0.746019803127546,-0.00198917185805235
"336390/US",0.724279198569775,0.72590070012369,-0.00223377874362075
"3219A0/US",0.668581121431892,0.670170829242631,-0.00237209341465397
"323110/US",0.51106412403335,0.512305126885706,-0.00242239007034775
"332710/US",0.492702057332923,0.493973408225859,-0.00257372334576131
"321200/US",0.642874627961217,0.64465493707003,-0.00276164659019699
"332996/US",0.511561981387775,0.513072636053213,-0.00294432904677647
"333613/US",0.556403122427056,0.558207294600026,-0.0032320827592598
"336370/US",0.70252181426195,0.70493983346761,-0.00343010721037684
"326150/US",0.698017310322782,0.700551930523683,-0.0036180332827105
"33351B/US",0.594692523859708,0.597081310668873,-0.00400077303791149
"333514/US",0.505237311453642,0.507384883617048,-0.00423262937613846
