"","input","output","value"
"1436","221100/US","326120/US",0.000125913414979615
"419","561700/US","332119/US",0.000125679675088552
"404","524200/US","332119/US",0.000125599860217684
"360","33291A/US","332119/US",0.000125319144526702
"376","325211/US","332119/US",0.000125141929006878
"269","325510/US","332114/US",0.000124392801229545
"1321","221100/US","322230/US",0.000124228533030011
"904","423800/US","332999/US",0.000123585530516834
"719","332500/US","332720/US",0.000123185361807337
"795","423600/US","332800/US",0.000122715585488016
"655","523A00/US","332600/US",0.000122192162852446
"973","33131B/US","333514/US",0.000121770628320396
"736","484000/US","332720/US",0.000120975748356377
"396","517110/US","332119/US",0.000120077256063961
"267","322210/US","332114/US",0.0001200633125775
"225","332999/US","331520/US",0.000119999044098311
"293","550000/US","332114/US",0.000118498960381934
"613","331420/US","332600/US",0.000118114530199866
"563","221100/US","332430/US",0.000117883693893971
"1128","423100/US","336320/US",0.000117683114723641
"612","33131B/US","332600/US",0.000115908686366314
"128","531ORE/US","331200/US",0.000115759934600094
"486","332720/US","332320/US",0.0001154993298665
"390","481000/US","332119/US",0.000114929643876495
"780","334413/US","332800/US",0.000114922824952263
"921","541100/US","332999/US",0.000114900425205663
"232","423A00/US","331520/US",0.000113431737514626
"847","423A00/US","332996/US",0.00011294777182962
"146","423A00/US","331313/US",0.000112897658282318
"872","331420/US","332999/US",0.000112515453378023
"1432","326110/US","326110/US",0.000112247805241814
"874","331510/US","332999/US",0.000112040642969151
"652","518200/US","332600/US",0.000111850831404301
"46","484000/US","321910/US",0.000111473455827089
"520","331420/US","332420/US",0.000111191847116254
"1498","325190/US","326150/US",0.000110598652324337
"354","332320/US","332119/US",0.000109998288787689
"1303","484000/US","322210/US",0.00010981659036513
"1260","423100/US","3363A0/US",0.000109269911342115
"1383","423A00/US","322299/US",0.000109071634059665
"885","333511/US","332999/US",0.000108821717385407
"732","423800/US","332720/US",0.000108809904325633
"837","331420/US","332996/US",0.000107963459046661
"660","541100/US","332600/US",0.000107460258527662
"1152","3363A0/US","336350/US",0.000106947782036557
"797","423A00/US","332800/US",0.00010686676392101
"1334","325520/US","322230/US",0.000106841261365146
"786","324110/US","332800/US",0.000106604886213604
"443","331200/US","332310/US",0.000106491161900032
"926","541800/US","332999/US",0.000106308296284569
"264","334413/US","332114/US",0.000105947142240061
"1353","531ORE/US","322230/US",0.000103935207131065
"1371","221100/US","322299/US",0.000103790387725181
"1269","550000/US","3363A0/US",0.000103588502764925
"1400","322120/US","323110/US",0.000103525302615926
"200","331313/US","331490/US",0.000101912599022444
"1127","326190/US","336320/US",0.000100771066279738
"804","484000/US","332800/US",9.93330238738144e-05
"1188","332720/US","336370/US",9.91726613173358e-05
"1124","336390/US","336320/US",9.90800368329894e-05
