FacilityID,FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,State,County,Location,NAICS
16725911,Nitrogen Oxides,air,843.6818082000001,kg,2.0,NEI,2020,110007754554,Pennsylvania,Berks,42011,331314
16725911,PM2.5 Primary (Filt + Cond),air,4695.284398070575,kg,2.0,NEI,2020,110007754554,Pennsylvania,Berks,42011,331314
16725911,Sulfur Dioxide,air,1805.2976326,kg,2.0,NEI,2020,110007754554,Pennsylvania,Berks,42011,331314
16725911,Volatile Organic Compounds,air,18.143694800000002,kg,1.5,NEI,2020,110007754554,Pennsylvania,Berks,42011,331314
16961111,Carbon Dioxide,air,22097877.213627603,kg,5.0,NEI,2020,110020903398,Tennessee,Madison,47113,331314
16961111,Carbon Monoxide,air,17048.632100346,kg,2.0,NEI,2020,110020903398,Tennessee,Madison,47113,331314
16961111,Nitrogen Oxides,air,20380.646127236396,kg,2.0,NEI,2020,110020903398,Tennessee,Madison,47113,331314
16961111,PM2.5 Primary (Filt + Cond),air,8075.674420827492,kg,4.270112325168611,NEI,2020,110020903398,Tennessee,Madison,47113,331314
16961111,Sulfur Dioxide,air,291.08700674669,kg,2.0,NEI,2020,110020903398,Tennessee,Madison,47113,331314
16961111,Volatile Organic Compounds,air,8024.756802034456,kg,1.5020397328124833,NEI,2020,110020903398,Tennessee,Madison,47113,331314
1784711,Carbon Dioxide,air,2545110.41680896,kg,2.0,NEI,2020,110000845747,Illinois,Kane,17089,331318
1784711,Carbon Monoxide,air,1788.8231577216002,kg,2.0,NEI,2020,110000845747,Illinois,Kane,17089,331318
1784711,Nitrogen Oxides,air,2128.4731243776,kg,2.0,NEI,2020,110000845747,Illinois,Kane,17089,331318
1784711,PM2.5 Primary (Filt + Cond),air,158.5033177728,kg,2.0,NEI,2020,110000845747,Illinois,Kane,17089,331318
1784711,Sulfur Dioxide,air,12.679721110980001,kg,2.0,NEI,2020,110000845747,Illinois,Kane,17089,331318
1784711,Volatile Organic Compounds,air,6706.95467490048,kg,3.967845659163987,NEI,2020,110000845747,Illinois,Kane,17089,331318
17856811,Carbon Dioxide,air,31053405.326481324,kg,5.0,NEI,2020,110069467552,Ohio,Trumbull,39155,331314
17856811,Carbon Monoxide,air,44628.04609956001,kg,2.0,NEI,2020,110069467552,Ohio,Trumbull,39155,331314
17856811,Nitrogen Oxides,air,53133.810221800006,kg,2.0,NEI,2020,110069467552,Ohio,Trumbull,39155,331314
17856811,PM2.5 Primary (Filt + Cond),air,4038.0970020776003,kg,2.0,NEI,2020,110069467552,Ohio,Trumbull,39155,331314
17856811,Sulfur Dioxide,air,318.78471763600004,kg,2.0,NEI,2020,110069467552,Ohio,Trumbull,39155,331314
17856811,Volatile Organic Compounds,air,1901.2868635380992,kg,2.0,NEI,2020,110069467552,Ohio,Trumbull,39155,331314
17890211,Carbon Dioxide,air,245053404.8983636,kg,3.7627848781494384,NEI,2020,110070049979,New york,St. lawrence,36089,33131
17890211,Carbon Monoxide,air,12008653.067797469,kg,1.0014220152464803,NEI,2020,110070049979,New york,St. lawrence,36089,33131
17890211,Nitrogen Oxides,air,104427.53409059049,kg,1.2379572486719241,NEI,2020,110070049979,New york,St. lawrence,36089,33131
17890211,PM2.5 Primary (Filt + Cond),air,19125.49442615773,kg,2.0,NEI,2020,110070049979,New york,St. lawrence,36089,33131
17890211,Sulfur Dioxide,air,2217899.6769867125,kg,3.8939139749420257,NEI,2020,110070049979,New york,St. lawrence,36089,33131
17890211,Volatile Organic Compounds,air,0.0,kg,1.1542791021848509,NEI,2020,110070049979,New york,St. lawrence,36089,33131
